gender,event,medal,athlete,type,year,country
Men,Double FITA Round Amputee,Gold,LARSEN Finn,Archery,1980,Denmark
Men,Double FITA Round Amputee,Silver,BRENNE Manfred,Archery,1980,Federal Republic of Germany
Men,Double FITA Round Amputee,Bronze,SATO Masao,Archery,1980,Japan
Men,Double FITA Round Paraplegic,Gold,GEISS H.,Archery,1980,Federal Republic of Germany
Men,Double FITA Round Paraplegic,Silver,GRUN Guy,Archery,1980,Belgium
Men,Double FITA Round Paraplegic,Bronze,BUCHANAN J.,Archery,1980,Great Britain
Men,Double FITA Round Tetraplegic,Gold,PARKER T.,Archery,1980,Canada
Men,Double FITA Round Tetraplegic,Silver,STEBEKK Oddbjorn,Archery,1980,Norway
Men,Double FITA Round Tetraplegic,Bronze,LAFONT G.,Archery,1980,France
Men,Double FITA Round Novice Paraplegic,Gold,CHAVEZ Alfredo,Archery,1980,Mexico
Men,Double FITA Round Novice Paraplegic,Silver,WALSTRA Jappie,Archery,1980,Netherlands
Men,Double FITA Round Novice Paraplegic,Bronze,VAN DER LIEFVOORT H.,Archery,1980,Netherlands
Men,Double FITA Round Novice Tetraplegic,Gold,KARKAINEN K.,Archery,1980,Finland
Men,Double FITA Round Novice Tetraplegic,Silver,KISHINO Tadashi,Archery,1980,Japan
Men,Double FITA Round Novice Tetraplegic,Bronze,ANDERSSON-TANNERSTAD Kent,Archery,1980,Sweden
Men,Short Metric Round Paraplegic,Gold,CHAPUIS J. M.,Archery,1980,France
Men,Short Metric Round Paraplegic,Silver,ZEISE L.,Archery,1980,United States
Men,Short Metric Round Paraplegic,Bronze,THION J.,Archery,1980,France
Men,Short Metric Round Tetraplegic,Gold,HENKER Siegmar,Archery,1980,Federal Republic of Germany
Men,Short Metric Round Tetraplegic,Silver,TREWHELLA Ian,Archery,1980,Australia
Men,Short Metric Round Tetraplegic,Bronze,KRISTIANSEN Svein,Archery,1980,Norway
Men,Advanced Metric Round Paraplegic,Gold,KIM Yoon Bae,Archery,1980,South Korea
Men,Advanced Metric Round Paraplegic,Silver,PETSCHNIG M.,Archery,1980,Austria
Men,Advanced Metric Round Paraplegic,Bronze,LETTNER Felix,Archery,1980,Austria
Women,Double FITA Round Amputee,Gold,ROSVIK Marie,Archery,1980,Norway
Women,Double FITA Round Amputee,Silver,KWIECINSKA Ewa,Archery,1980,Poland
Women,Double FITA Round Amputee,Bronze,HYBOIS Marie-Francoise,Archery,1980,France
Women,Double FITA Round Paraplegic,Gold,FAIRHALL Neroli,Archery,1980,New Zealand
Women,Double FITA Round Paraplegic,Silver,KORVA Elli,Archery,1980,Finland
Women,Double FITA Round Paraplegic,Bronze,DERSEN Anneliese,Archery,1980,Federal Republic of Germany
Women,Double FITA Round Novice Paraplegic,Gold,OHMAE Chiyoko,Archery,1980,Japan
Women,Short Metric Round Paraplegic,Gold,SCHWEIZER Rosa,Archery,1980,Austria
Women,Short Metric Round Paraplegic,Silver,WILLIAMSON Valerie,Archery,1980,Great Britain
Women,Advanced Metric Round Paraplegic,Gold,UNSICKER K.,Archery,1980,United States
Women,Advanced Metric Round Paraplegic,Silver,RIMMER Eve M.,Archery,1980,New Zealand
Women,Advanced Metric Round Paraplegic,Bronze,MATTHEWS G.,Archery,1980,Great Britain
Men,Double FITA Round Team Amputee,Gold,BRENNE Manfred,Archery,1980,Federal Republic of Germany
Men,Double FITA Round Team Amputee,Gold,BUTENHOFF Hilmar,Archery,1980,Federal Republic of Germany
Men,Double FITA Round Team Amputee,Gold,POHL K.,Archery,1980,Federal Republic of Germany
Men,Double FITA Round Team Amputee,Silver,APPELKVIST Sune,Archery,1980,Sweden
Men,Double FITA Round Team Amputee,Silver,BABKIN Nicolai,Archery,1980,Sweden
Men,Double FITA Round Team Amputee,Silver,CARSSON Jan O.,Archery,1980,Sweden
Men,Double FITA Round Team Paraplegic,Gold,BARDOEL Filip,Archery,1980,Belgium
Men,Double FITA Round Team Paraplegic,Gold,GRUN Guy,Archery,1980,Belgium
Men,Double FITA Round Team Paraplegic,Gold,MEYSEN Jozef,Archery,1980,Belgium
Men,Double FITA Round Team Paraplegic,Silver,BUCHANAN J.CORRIE Alan,Archery,1980,Great Britain
Men,Double FITA Round Team Paraplegic,Silver,SMITH I.,Archery,1980,Great Britain
Men,Double FITA Round Team Paraplegic,Bronze,GEISS H.PFEFFER U.SCHMIDBERGER R.,Archery,1980,Federal Republic of Germany
Men,Double FITA Round C1-C2,Gold,BAREFOOT David,Archery,1984,Canada
Men,"Double FITA Round C3,C6",Gold,THORNE Philip,Archery,1984,Great Britain
Men,Double FITA Round Div. 3,Gold,LOVVOLD Kjell,Archery,1984,Norway
Men,Double FITA Round Div. 3,Silver,KUYS Alfons,Archery,1984,Belgium
Men,Double FITA Round Div. 3,Bronze,TANQUEREL Benoit,Archery,1984,France
Men,Double FITA Round Integrated,Gold,THULIN Jan,Archery,1984,Sweden
Men,Double FITA Round Integrated,Silver,REBOLLO Antonio,Archery,1984,Spain
Men,Double FITA Round Integrated,Bronze,TIRRONEN Raimo,Archery,1984,Finland
Men,Double FITA Round Paraplegic,Gold,GRUN Guy,Archery,1984,Belgium
Men,Double FITA Round Paraplegic,Silver,WEIJERS J.,Archery,1984,Netherlands
Men,Double FITA Round Paraplegic,Bronze,LAUKKANEN Heikki,Archery,1984,Finland
Men,Double FITA Round Tetraplegic,Gold,LETTNER Felix,Archery,1984,Austria
Men,Double FITA Round Tetraplegic,Silver,KONEMAN K.,Archery,1984,Netherlands
Men,Double FITA Round Tetraplegic,Bronze,STEBEKK Oddbjorn,Archery,1984,Norway
Men,Double Short Metric Round Paraplegic,Gold,BAUDOIS Michel,Archery,1984,Switzerland
Men,Double Short Metric Round Paraplegic,Silver,KIM H. S.,Archery,1984,South Korea
Men,Double Short Metric Round Paraplegic,Bronze,DE MASI Pasquale,Archery,1984,Italy
Men,Double Short Metric Round Tetraplegic,Gold,HOLM Kenneth,Archery,1984,Sweden
Men,Double Advanced Metric Round Paraplegic,Gold,CHAPUIS J. M.,Archery,1984,France
Men,Double Advanced Metric Round Paraplegic,Silver,BOUCHITE C.,Archery,1984,France
Men,Double Advanced Metric Round Paraplegic,Bronze,KRISHNER Patrick,Archery,1984,United States
Men,Double Advanced Metric Round Tetraplegic,Gold,FRANK Gerhard,Archery,1984,Austria
Men,Double Advanced Metric Round Tetraplegic,Silver,TREWHELLA Ian,Archery,1984,Australia
Men,Double Advanced Metric Round Tetraplegic,Bronze,ARNOLD Ernest,Archery,1984,Great Britain
Women,Double FITA Round Div. 3,Gold,HILDERLEY Helen,Archery,1984,Great Britain
Women,Double FITA Round Div. 3,Silver,LEAPER Beverley,Archery,1984,Great Britain
Women,Double FITA Round Integrated,Gold,DERSEN Anneliese,Archery,1984,Federal Republic of Germany
Women,Double FITA Round Integrated,Silver,LACOMBLEZ Martine,Archery,1984,Belgium
Women,Double FITA Round Integrated,Bronze,MONACO Irene,Archery,1984,Italy
Women,Double FITA Round Paraplegic,Gold,HAGEL Susan,Archery,1984,United States
Women,Double FITA Round Paraplegic,Silver,SUZUKI Hifumi,Archery,1984,Japan
Women,Double FITA Round Paraplegic,Bronze,DAVIES Susan,Archery,1984,Australia
Women,Double Short Metric Round Paraplegic,Gold,BALME M. P.,Archery,1984,France
Women,Double Short Metric Round Paraplegic,Silver,SCHWEIZER Rosa,Archery,1984,Austria
Women,Double Short Metric Round Paraplegic,Bronze,GRAY Anne,Archery,1984,Great Britain
Men,Double FITA Round Team Integrated,Gold,AHLINDER S.BABKIN Nicolai,Archery,1984,Sweden
Men,Double FITA Round Team Integrated,Gold,TJERNELL Arne,Archery,1984,Sweden
Men,Double FITA Round Team Integrated,Silver,DUCRET Rene,Archery,1984,France
Men,Double FITA Round Team Integrated,Silver,HAMART George,Archery,1984,France
Men,Double FITA Round Team Integrated,Silver,LELON Daniel,Archery,1984,France
Men,Double FITA Round Team Integrated,Bronze,BOECKERS Manfred,Archery,1984,Federal Republic of Germany
Men,Double FITA Round Team Integrated,Bronze,BRENNE Manfred,Archery,1984,Federal Republic of Germany
Men,Double FITA Round Team Integrated,Bronze,BUTENHOFF Kilmar,Archery,1984,Federal Republic of Germany
Men,"Single FITA Round C7,C8",Gold,KUYS Alfons,Archery,1988,Belgium
Men,"Single FITA Round C7,C8",Silver,TASHIRO Kiyotaka,Archery,1988,Japan
Men,"Single FITA Round C7,C8",Bronze,KIM Kyung Sun,Archery,1988,South Korea
Men,Double FITA Round Open,Gold,AN Tae Sung,Archery,1988,South Korea
Men,Double FITA Round Open,Silver,SCALISI Carmelo,Archery,1988,Belgium
Men,Double FITA Round Open,Bronze,REBOLLO Antonio,Archery,1988,Spain
Men,Double FITA Round 2-6,Gold,BAUDOIS Michel,Archery,1988,Switzerland
Men,Double FITA Round 2-6,Silver,KIM Hee Sook,Archery,1988,South Korea
Men,Double FITA Round 2-6,Bronze,WOLF Udo,Archery,1988,Federal Republic of Germany
Men,Double Short Metric Round 1A-1C,Gold,RANTAVOURI Martti,Archery,1988,Finland
Men,Double Short Metric Round 1A-1C,Silver,FUJII Narumi,Archery,1988,Japan
Men,Double Short Metric Round 1A-1C,Bronze,STAUNER Michael,Archery,1988,United States
Women,Double FITA Round Open,Gold,LEE Kyung Hee,Archery,1988,South Korea
Women,Double FITA Round Open,Silver,DERSEN Anneliese,Archery,1988,Federal Republic of Germany
Women,Double FITA Round Open,Bronze,MORGENSEN Birthe,Archery,1988,Denmark
Women,Double FITA Round 2-6,Gold,WATTS Karen,Archery,1988,Great Britain
Women,Double FITA Round 2-6,Silver,KORVA Elli,Archery,1988,Finland
Women,Double FITA Round 2-6,Bronze,FANTATO Paola,Archery,1988,Italy
Men,Double FITA Round Team Open,Gold,AN Tae Sung,Archery,1988,South Korea
Men,Double FITA Round Team Open,Gold,CHO Hyun Kwan,Archery,1988,South Korea
Men,Double FITA Round Team Open,Gold,KIM Sung Hee,Archery,1988,South Korea
Men,Double FITA Round Team Open,Gold,LEE Hak Young,Archery,1988,South Korea
Men,Double FITA Round Team Open,Silver,KALLUNKI Keijo,Archery,1988,Finland
Men,Double FITA Round Team Open,Silver,TIRRONEN Raimo,Archery,1988,Finland
Men,Double FITA Round Team Open,Silver,VIINIKKA Veijo,Archery,1988,Finland
Men,Double FITA Round Team Open,Bronze,COURTILLON Lucien,Archery,1988,France
Men,Double FITA Round Team Open,Bronze,FAVRE Jean-Michel,Archery,1988,France
Men,Double FITA Round Team Open,Bronze,LELOU Daniel,Archery,1988,France
Men,Double FITA Round Team 2-6,Gold,JANG Ki Ki,Archery,1988,South Korea
Men,Double FITA Round Team 2-6,Gold,KIM Hee Sook,Archery,1988,South Korea
Men,Double FITA Round Team 2-6,Gold,KIM Ho Sung,Archery,1988,South Korea
Men,Double FITA Round Team 2-6,Gold,YOON Choon Heung,Archery,1988,South Korea
Men,Double FITA Round Team 2-6,Silver,AMADI Fabio,Archery,1988,Italy
Men,Double FITA Round Team 2-6,Silver,GABELLI Giuseppe,Archery,1988,Italy
Men,Double FITA Round Team 2-6,Silver,KOTEN Giuliano,Archery,1988,Italy
Men,Double FITA Round Team 2-6,Silver,PIZZORNI Orazio,Archery,1988,Italy
Men,Double FITA Round Team 2-6,Bronze,INOUE Yoshihiro,Archery,1988,Japan
Men,Double FITA Round Team 2-6,Bronze,OKANISHI Michio,Archery,1988,Japan
Men,Double FITA Round Team 2-6,Bronze,UCHIYAMA Junji,Archery,1988,Japan
Men,Double FITA Round Team 2-6,Bronze,YOSHIDA Shigetoshi,Archery,1988,Japan
Women,Double FITA Round Team 2-6,Gold,ANIC Wilma,Archery,1988,Great Britain
Women,Double FITA Round Team 2-6,Gold,COOPER Joan,Archery,1988,Great Britain
Women,Double FITA Round Team 2-6,Gold,WATTS Karen,Archery,1988,Great Britain
Women,Double FITA Round Team 2-6,Silver,DROSDZIOK Ursula,Archery,1988,Federal Republic of Germany
Women,Double FITA Round Team 2-6,Silver,ENZMANN Inge,Archery,1988,Federal Republic of Germany
Women,Double FITA Round Team 2-6,Silver,KIEBLICH Karin,Archery,1988,Federal Republic of Germany
Women,Double FITA Round Team 2-6,Bronze,COLLIN Sirkka Liisa,Archery,1988,Finland
Women,Double FITA Round Team 2-6,Bronze,JOKIVIRTA Hilkka,Archery,1988,Finland
Women,Double FITA Round Team 2-6,Bronze,KORVA Elli,Archery,1988,Finland
Men,Individual AR1,Gold,MINAMI Koichi,Archery,1992,Japan
Men,Individual AR1,Silver,SPIZZIRRI Richard,Archery,1992,United States
Men,Individual AR1,Bronze,MERCANDELLI Giampiero,Archery,1992,Italy
Men,Individual AR2,Gold,PIZZORNI Orazio,Archery,1992,Italy
Men,Individual AR2,Silver,NORTMANN Hermann,Archery,1992,Germany
Men,Individual AR2,Bronze,WOLF Udo,Archery,1992,Germany
Men,Individual Open,Gold,FUDGE Jens,Archery,1992,Denmark
Men,Individual Open,Silver,NISHII Kenichi,Archery,1992,Japan
Men,Individual Open,Bronze,CHO Hyun Kwan,Archery,1992,South Korea
Women,Individual AR2,Gold,FANTATO Paola,Archery,1992,Italy
Women,Individual AR2,Silver,KORVA Elli,Archery,1992,Finland
Women,Individual AR2,Bronze,SUZUKI Hifumi,Archery,1992,Japan
Women,Individual Open,Gold,GRISHKO Tatiana,Archery,1992,Unified Team (former Soviet Union)
Women,Individual Open,Silver,THULIN Siv,Archery,1992,Sweden
Women,Individual Open,Bronze,TVED Hanne,Archery,1992,Denmark
Men,Teams AR2,Gold,BAHLS Karl,Archery,1992,Germany
Men,Teams AR2,Gold,NORTMANN Hermann,Archery,1992,Germany
Men,Teams AR2,Gold,WOLF Udo,Archery,1992,Germany
Men,Teams AR2,Silver,GABELLI Giuseppe,Archery,1992,Italy
Men,Teams AR2,Silver,MALOVINI Luciano,Archery,1992,Italy
Men,Teams AR2,Silver,PIZZORNI Orazio,Archery,1992,Italy
Men,Teams AR2,Bronze,CHOI Jang Sub,Archery,1992,South Korea
Men,Teams AR2,Bronze,JANG Ki Ki,Archery,1992,South Korea
Men,Teams AR2,Bronze,LEE Ouk Soo,Archery,1992,South Korea
Men,Teams Open,Gold,CHO Hyun Kwan,Archery,1992,South Korea
Men,Teams Open,Gold,KIM Sung Hee,Archery,1992,South Korea
Men,Teams Open,Gold,LEE Hak Young,Archery,1992,South Korea
Men,Teams Open,Silver,FERNANDEZ Jose,Archery,1992,Spain
Men,Teams Open,Silver,HERMOSIN Jose Luis,Archery,1992,Spain
Men,Teams Open,Silver,REBOLLO Antonio,Archery,1992,Spain
Men,Teams Open,Bronze,FAVRE Jean-Michel,Archery,1992,France
Men,Teams Open,Bronze,GARCIA Jean Francois,Archery,1992,France
Men,Teams Open,Bronze,LE BRAS Rene,Archery,1992,France
Men,Individual W1,Gold,RANTAVOURI Martti,Archery,1996,Finland
Men,Individual W1,Silver,MACCAFERRI Kurt,Archery,1996,Switzerland
Men,Individual W1,Bronze,MINAMI Koichi,Archery,1996,Japan
Men,Individual W2,Gold,LEE Ouk Soo,Archery,1996,South Korea
Men,Individual W2,Silver,WALSTRA Jappie,Archery,1996,Netherlands
Men,Individual W2,Bronze,WOLF Udo,Archery,1996,Germany
Men,Individual Standing,Gold,OLEJNIK Ryszard,Archery,1996,Poland
Men,Individual Standing,Silver,GARCIA Jean Francois,Archery,1996,France
Men,Individual Standing,Bronze,AN Tae Sung,Archery,1996,South Korea
Women,Individual W2,Gold,SUZUKI Hifumi,Archery,1996,Japan
Women,Individual W2,Silver,TRUCCOLO Sandra,Archery,1996,Italy
Women,Individual W2,Bronze,FANTATO Paola,Archery,1996,Italy
Women,Individual Standing,Gold,OLEJNIK Malgorzata,Archery,1996,Poland
Women,Individual Standing,Silver,CHAPMAN Anita,Archery,1996,Great Britain
Women,Individual Standing,Bronze,HYBOIS Marie-Francoise,Archery,1996,France
Men,Teams W1/W2,Gold,NORTMANN Hermann,Archery,1996,Germany
Men,Teams W1/W2,Gold,OEHME Mario,Archery,1996,Germany
Men,Teams W1/W2,Gold,WOLF Udo,Archery,1996,Germany
Men,Teams W1/W2,Silver,GABELLI Giuseppe,Archery,1996,Italy
Men,Teams W1/W2,Silver,MAI Marco,Archery,1996,Italy
Men,Teams W1/W2,Silver,MALOVINI Luciano,Archery,1996,Italy
Men,Teams W1/W2,Bronze,LEE Ouk Soo,Archery,1996,South Korea
Men,Teams W1/W2,Bronze,OH Doo,Archery,1996,South Korea
Men,Teams W1/W2,Bronze,YOU In,Archery,1996,South Korea
Men,Teams Standing,Gold,AN Tae Sung,Archery,1996,South Korea
Men,Teams Standing,Gold,CHO Hyeon,Archery,1996,South Korea
Men,Teams Standing,Gold,LEE Hak Young,Archery,1996,South Korea
Men,Teams Standing,Silver,JONSKI Stanislaw,Archery,1996,Poland
Men,Teams Standing,Silver,LEZANSKI Tomasz,Archery,1996,Poland
Men,Teams Standing,Silver,OLEJNIK Ryszard,Archery,1996,Poland
Men,Teams Standing,Bronze,ISHIDA Mitoya,Archery,1996,Japan
Men,Teams Standing,Bronze,NISHII Kenichi,Archery,1996,Japan
Men,Teams Standing,Bronze,SATO Masao,Archery,1996,Japan
Women,Teams Open,Gold,FANTATO Paola,Archery,1996,Italy
Women,Teams Open,Gold,LAZZARONI Roberta,Archery,1996,Italy
Women,Teams Open,Gold,TRUCCOLO Sandra,Archery,1996,Italy
Women,Teams Open,Silver,MATSUEDA Shigeko,Archery,1996,Japan
Women,Teams Open,Silver,SUZUKI Hifumi,Archery,1996,Japan
Women,Teams Open,Silver,YONEZAWA Masako,Archery,1996,Japan
Women,Teams Open,Bronze,CHAPMAN Anita,Archery,1996,Great Britain
Women,Teams Open,Bronze,GALE Rebecca,Archery,1996,Great Britain
Women,Teams Open,Bronze,SMITH Kathleen,Archery,1996,Great Britain
Men,Individual W1,Gold,SEBEK Zdenek,Archery,2000,Czech Republic
Men,Individual W1,Silver,HATEM Olivier,Archery,2000,France
Men,Individual W1,Bronze,MILADINOVIC Dejan,Archery,2000,France
Men,Individual W2,Gold,LEE Hong Gu,Archery,2000,South Korea
Men,Individual W2,Silver,JUNG Young Joo,Archery,2000,South Korea
Men,Individual W2,Bronze,DE PELLEGRIN Oscar,Archery,2000,Italy
Men,Individual Standing,Gold,AN Tae Sung,Archery,2000,South Korea
Men,Individual Standing,Silver,ATAMANENKO Serhiy,Archery,2000,Ukraine
Men,Individual Standing,Bronze,LYOCSA Imrich,Archery,2000,Slovakia
Women,Individual W1/W2,Gold,FANTATO Paola,Archery,2000,Italy
Women,Individual W1/W2,Silver,SMITH Kathleen,Archery,2000,Great Britain
Women,Individual W1/W2,Bronze,KO Hee Sook,Archery,2000,South Korea
Women,Individual Standing,Gold,CHAPMAN Anita,Archery,2000,Great Britain
Women,Individual Standing,Silver,OLEJNIK Malgorzata,Archery,2000,Poland
Women,Individual Standing,Bronze,KORZENIOWSKA Malgorzata,Archery,2000,Poland
Men,Teams Open,Gold,DE PELLEGRIN Oscar,Archery,2000,Italy
Men,Teams Open,Gold,CARRUBBA Salvatore,Archery,2000,Italy
Men,Teams Open,Gold,GABELLI Giuseppe,Archery,2000,Italy
Men,Teams Open,Silver,EST Charles,Archery,2000,France
Men,Teams Open,Silver,HATEM Olivier,Archery,2000,France
Men,Teams Open,Silver,MILADINOVIC Dejan,Archery,2000,France
Men,Teams Open,Bronze,CHO Hyun Kwan,Archery,2000,South Korea
Men,Teams Open,Bronze,LEE Hong Gu,Archery,2000,South Korea
Men,Teams Open,Bronze,LEE Ouk Soo,Archery,2000,South Korea
Women,Teams Open,Gold,FANTATO Paola,Archery,2000,Italy
Women,Teams Open,Gold,MENCONI Anna,Archery,2000,Italy
Women,Teams Open,Gold,TRUCCOLO Sandra,Archery,2000,Italy
Women,Teams Open,Silver,CHAPMAN Anita,Archery,2000,Great Britain
Women,Teams Open,Silver,SMITH Kathleen,Archery,2000,Great Britain
Women,Teams Open,Silver,WHITE Jane,Archery,2000,Great Britain
Women,Teams Open,Bronze,ISOZAKI Naomi,Archery,2000,Japan
Women,Teams Open,Bronze,SUZUKI Hifumi,Archery,2000,Japan
Women,Teams Open,Bronze,YONEZAWA Masako,Archery,2000,Japan
Men,Individual W1,Gold,CAVANAGH John,Archery,2004,Great Britain
Men,Individual W1,Silver,GROENBERG Anders,Archery,2004,Sweden
Men,Individual W1,Bronze,FABRY Jeffrey,Archery,2004,United States
Men,Individual W2,Gold,OEHME Mario,Archery,2004,Germany
Men,Individual W2,Silver,JUNG Young Joo,Archery,2004,South Korea
Men,Individual W2,Bronze,LEE Hong Gu,Archery,2004,South Korea
Men,Individual Standing,Gold,LYOCSA Imrich,Archery,2004,Slovakia
Men,Individual Standing,Silver,LEZANSKI Tomasz,Archery,2004,Poland
Men,Individual Standing,Bronze,AN Tae Sung,Archery,2004,South Korea
Women,Individual W1/W2,Gold,FANTATO Paola,Archery,2004,Italy
Women,Individual W1/W2,Silver,ISOZAKI Naomi,Archery,2004,Japan
Women,Individual W1/W2,Bronze,HIRASAWA Nako,Archery,2004,Japan
Women,Individual Standing,Gold,WANG Yanhong,Archery,2004,China
Women,Individual Standing,Silver,KARPMAICHAN Wasana,Archery,2004,Thailand
Women,Individual Standing,Bronze,OLEJNIK Malgorzata,Archery,2004,Poland
Men,Teams Open,Gold,JUNG Young Joo,Archery,2004,South Korea
Men,Teams Open,Gold,LEE Hak Young,Archery,2004,South Korea
Men,Teams Open,Gold,LEE Hong Gu,Archery,2004,South Korea
Men,Teams Open,Silver,MINAMI Koichi,Archery,2004,Japan
Men,Teams Open,Silver,ONODERA Kimimasa,Archery,2004,Japan
Men,Teams Open,Silver,SAKODO Shinji,Archery,2004,Japan
Men,Teams Open,Bronze,CROSS Aaron,Archery,2004,United States
Men,Teams Open,Bronze,FABRY Jeffrey,Archery,2004,United States
Men,Teams Open,Bronze,STONE Kevin,Archery,2004,United States
Women,Teams Open,Gold,CHAPMAN Anita,Archery,2004,Great Britain
Women,Teams Open,Gold,PARKER Margaret,Archery,2004,Great Britain
Women,Teams Open,Gold,SMITH Kathleen,Archery,2004,Great Britain
Women,Teams Open,Silver,FANTATO Paola,Archery,2004,Italy
Women,Teams Open,Silver,MENCONI Anna,Archery,2004,Italy
Women,Teams Open,Silver,TRUCCOLO Sandra,Archery,2004,Italy
Women,Teams Open,Bronze,KO Hee Sook,Archery,2004,South Korea
Women,Teams Open,Bronze,LEE Hwa Sook,Archery,2004,South Korea
Women,Teams Open,Bronze,LEE Kyung Hee,Archery,2004,South Korea
Men,Individual Compound W1,Gold,DRAHONINSKY David,Archery,2008,Czech Republic
Men,Individual Compound W1,Silver,CAVANAGH John,Archery,2008,Great Britain
Men,Individual Compound W1,Bronze,FABRY Jeff,Archery,2008,United States
Men,Individual Compound Open,Gold,STUBBS John,Archery,2008,Great Britain
Men,Individual Compound Open,Silver,SIMONELLI Alberto,Archery,2008,Italy
Men,Individual Compound Open,Bronze,HORNER Philippe,Archery,2008,Switzerland
Men,Individual Recurve W1/W2,Gold,CHENG Changjie,Archery,2008,China
Men,Individual Recurve W1/W2,Silver,VITALE Marco,Archery,2008,Italy
Men,Individual Recurve W1/W2,Bronze,TSENG Lung Hui,Archery,2008,Chinese Taipei
Men,Individual Recurve Standing,Gold,DAMBADONDOG Baatarjav,Archery,2008,Mongolia
Men,Individual Recurve Standing,Silver,MEUNIER Fabrice,Archery,2008,France
Men,Individual Recurve Standing,Bronze,CHEN Yegang,Archery,2008,China
Women,Individual Compound Open,Gold,BROWN Danielle,Archery,2008,Great Britain
Women,Individual Compound Open,Silver,KAMIYA Chieko,Archery,2008,Japan
Women,Individual Compound Open,Bronze,CLARKE Mel,Archery,2008,Great Britain
Women,Individual Recurve W1/W2,Gold,GIRISMEN Gizem,Archery,2008,Turkey
Women,Individual Recurve W1/W2,Silver,FU Hongzhi,Archery,2008,China
Women,Individual Recurve W1/W2,Bronze,XIAO Yanhong,Archery,2008,China
Women,Individual Recurve Standing,Gold,LEE Hwa Sook,Archery,2008,South Korea
Women,Individual Recurve Standing,Silver,GAO Fangxia,Archery,2008,China
Women,Individual Recurve Standing,Bronze,CARMICHAEL Lindsey,Archery,2008,United States
Men,Team Recurve Open,Gold,CHO Hyun Kwan,Archery,2008,South Korea
Men,Team Recurve Open,Gold,KIM Hong Kyu,Archery,2008,South Korea
Men,Team Recurve Open,Gold,LEE Hong Gu,Archery,2008,South Korea
Men,Team Recurve Open,Silver,CHEN Yegang,Archery,2008,China
Men,Team Recurve Open,Silver,CHENG Changjie,Archery,2008,China
Men,Team Recurve Open,Silver,DONG Zhi,Archery,2008,China
Men,Team Recurve Open,Bronze,DE PELLEGRIN Oscar,Archery,2008,Italy
Men,Team Recurve Open,Bronze,ESPOSITO Mario,Archery,2008,Italy
Men,Team Recurve Open,Bronze,VITALE Marco,Archery,2008,Italy
Women,Team Recurve Open,Gold,FU Hongzhi,Archery,2008,China
Women,Team Recurve Open,Gold,GAO Fangxia,Archery,2008,China
Women,Team Recurve Open,Gold,XIAO Yanhong,Archery,2008,China
Women,Team Recurve Open,Silver,KIM Ki Hee,Archery,2008,South Korea
Women,Team Recurve Open,Silver,KIM Ran Sook,Archery,2008,South Korea
Women,Team Recurve Open,Silver,LEE Hwa Sook,Archery,2008,South Korea
Women,Team Recurve Open,Bronze,CERNA Miroslava,Archery,2008,Czech Republic
Women,Team Recurve Open,Bronze,KUNCOVA Lenka,Archery,2008,Czech Republic
Women,Team Recurve Open,Bronze,SIDKOVA Marketa,Archery,2008,Czech Republic
Men,Individual Compound W1,Gold,FABRY Jeff,Archery,2012,United States
Men,Individual Compound W1,Silver,DRAHONINSKY David,Archery,2012,Czech Republic
Men,Individual Compound W1,Bronze,MURPHY Norbert,Archery,2012,Canada
Men,Individual Compound Open,Gold,FORSBERG Jere,Archery,2012,Finland
Men,Individual Compound Open,Silver,STUTZMAN Matt,Archery,2012,United States
Men,Individual Compound Open,Bronze,HANCI Dogan,Archery,2012,Turkey
Men,Individual Recurve W1/W2,Gold,DE PELLEGRIN Oscar,Archery,2012,Italy
Men,Individual Recurve W1/W2,Silver,SANAWI Hasihin,Archery,2012,Malaysia
Men,Individual Recurve W1/W2,Bronze,TSENG Lung Hui,Archery,2012,Chinese Taipei
Men,Individual Recurve Standing,Gold,TUCHINOV Timur,Archery,2012,Russia
Men,Individual Recurve Standing,Silver,SHESTAKOV Oleg,Archery,2012,Russia
Men,Individual Recurve Standing,Bronze,OYUN Mikhail,Archery,2012,Russia
Women,Individual Compound Open,Gold,BROWN Danielle,Archery,2012,Great Britain
Women,Individual Compound Open,Silver,CLARKE Mel,Archery,2012,Great Britain
Women,Individual Compound Open,Bronze,ARTAKHINOVA Stepanida,Archery,2012,Russia
Women,Individual Recurve W1/W2,Gold,NEMATI Zahra,Archery,2012,Iran
Women,Individual Recurve W1/W2,Silver,MIJNO Elisabetta,Archery,2012,Italy
Women,Individual Recurve W1/W2,Bronze,LI Jinzhi,Archery,2012,China
Women,Individual Recurve Standing,Gold,YAN Huilian,Archery,2012,China
Women,Individual Recurve Standing,Silver,LEE Hwa Sook,Archery,2012,South Korea
Women,Individual Recurve Standing,Bronze,OLSZEWSKA Milena,Archery,2012,Poland
Men,Team Recurve Open,Gold,OYUN Mikhail,Archery,2012,Russia
Men,Team Recurve Open,Gold,SHESTAKOV Oleg,Archery,2012,Russia
Men,Team Recurve Open,Gold,TUCHINOV Timur,Archery,2012,Russia
Men,Team Recurve Open,Silver,JUNG Young Joo,Archery,2012,South Korea
Men,Team Recurve Open,Silver,KIM Suk Ho,Archery,2012,South Korea
Men,Team Recurve Open,Silver,LEE Myeong Gu,Archery,2012,South Korea
Men,Team Recurve Open,Bronze,CHENG Changjie,Archery,2012,China
Men,Team Recurve Open,Bronze,DONG Zhi,Archery,2012,China
